GenBank Accession	Contig Header
JBGLOB010000188.1	contig_188
JBGLOB010000189.1	contig_189
JBGLOB010000190.1	contig_190
JBGLOB010000191.1	contig_191
JBGLOB010000192.1	contig_192
JBGLOB010000193.1	contig_193
JBGLOB010000194.1	contig_194
JBGLOB010000195.1	contig_195
JBGLOB010000196.1	contig_196
JBGLOB010000197.1	contig_197
JBGLOB010000198.1	contig_198
JBGLOB010000199.1	contig_199
JBGLOB010000200.1	contig_200
JBGLOB010000201.1	contig_201
JBGLOB010000202.1	contig_202
JBGLOB010000203.1	contig_203
JBGLOB010000204.1	contig_204
JBGLOB010000205.1	contig_205
JBGLOB010000206.1	contig_206
JBGLOB010000207.1	contig_207
JBGLOB010000208.1	contig_208
JBGLOB010000209.1	contig_209
JBGLOB010000210.1	contig_210
JBGLOB010000211.1	contig_211
JBGLOB010000212.1	contig_212
JBGLOB010000213.1	contig_213
JBGLOB010000214.1	contig_214
JBGLOB010000215.1	contig_215
JBGLOB010000216.1	contig_216
JBGLOB010000217.1	contig_217
JBGLOB010000218.1	contig_218
JBGLOB010000219.1	contig_219
JBGLOB010000220.1	contig_220
JBGLOB010000221.1	contig_221
JBGLOB010000222.1	contig_222
JBGLOB010000223.1	contig_223
JBGLOB010000224.1	contig_224
JBGLOB010000225.1	contig_225
JBGLOB010000226.1	contig_226
JBGLOB010000227.1	contig_227
JBGLOB010000228.1	contig_228
JBGLOB010000229.1	contig_229
JBGLOB010000230.1	contig_230
JBGLOB010000231.1	contig_231
JBGLOB010000232.1	contig_232
JBGLOB010000233.1	contig_233
JBGLOB010000234.1	contig_234
JBGLOB010000235.1	contig_235
JBGLOB010000236.1	contig_236
JBGLOB010000237.1	contig_237
JBGLOB010000238.1	contig_238
JBGLOB010000239.1	contig_239
JBGLOB010000240.1	contig_240
JBGLOB010000241.1	contig_241
JBGLOB010000242.1	contig_242
JBGLOB010000243.1	contig_243
JBGLOB010000244.1	contig_244
JBGLOB010000245.1	contig_245
JBGLOB010000246.1	contig_246
JBGLOB010000247.1	contig_247
JBGLOB010000248.1	contig_248
JBGLOB010000249.1	contig_249
JBGLOB010000250.1	contig_250
JBGLOB010000251.1	contig_251
JBGLOB010000252.1	contig_252
JBGLOB010000253.1	contig_253
JBGLOB010000254.1	contig_254
JBGLOB010000255.1	contig_255
JBGLOB010000256.1	contig_256
JBGLOB010000257.1	contig_257
JBGLOB010000258.1	contig_258
JBGLOB010000259.1	contig_259
JBGLOB010000260.1	contig_260
JBGLOB010000261.1	contig_261
JBGLOB010000262.1	contig_262
JBGLOB010000263.1	contig_263
JBGLOB010000264.1	contig_264
JBGLOB010000265.1	contig_265
JBGLOB010000266.1	contig_266
JBGLOB010000267.1	contig_267
JBGLOB010000268.1	contig_268
JBGLOB010000269.1	contig_269
JBGLOB010000270.1	contig_270
JBGLOB010000271.1	contig_271
JBGLOB010000272.1	contig_272
JBGLOB010000273.1	contig_273
JBGLOB010000274.1	contig_274
JBGLOB010000275.1	contig_275
JBGLOB010000276.1	contig_276
JBGLOB010000277.1	contig_277
JBGLOB010000278.1	contig_278
JBGLOB010000279.1	contig_279
JBGLOB010000280.1	contig_280
JBGLOB010000281.1	contig_281
JBGLOB010000282.1	contig_282
JBGLOB010000283.1	contig_283
JBGLOB010000284.1	contig_284
JBGLOB010000285.1	contig_285
JBGLOB010000286.1	contig_286
JBGLOB010000287.1	contig_287
JBGLOB010000288.1	contig_288
JBGLOB010000289.1	contig_289
JBGLOB010000290.1	contig_290
JBGLOB010000291.1	contig_291
JBGLOB010000292.1	contig_292
JBGLOB010000293.1	contig_293
JBGLOB010000294.1	contig_294
JBGLOB010000295.1	contig_295
JBGLOB010000296.1	contig_296
JBGLOB010000297.1	contig_297
JBGLOB010000298.1	contig_298
JBGLOB010000299.1	contig_299
JBGLOB010000300.1	contig_300
JBGLOB010000301.1	contig_301
CM091705.1	mitochondrion
